domain,ip1,ip2,ip3,ip4,ip5,ip6,mx1,mx2,,,,,,,,,
savantcs.com, 69.26.113.198, mail.886ventures.com,,,,,,,,,,,,,,,
federalplumbing.com, 74.208.5.21, mx01.1and1.com,mx00.1and1.com,,,,,,,,,,,,,,
qpsi.net, 72.52.152.235, mail.interactivepalette.com,,,,,,,,,,,,,,,
psmarston.com, 207.46.163.10,216.32.180.42, psmarston-com.mail.protection.outlook.com,,,,,,,,,,,,,,
rtgp.com, 216.32.181.106,216.32.181.234, rtgp-com.mail.protection.outlook.com,,,,,,,,,,,,,,
sullivanre.net, 207.46.163.215,207.46.163.170,207.46.163.138, sullivanre-net.mail.protection.outlook.com,,,,,,,,,,,,,
waldoch.org, 23.229.206.227, mail.waldoch.org,,,,,,,,,,,,,,,
telmar.co.za, 92.242.140.21, relay2.xand.com.telmar.co.za,d40305a.ess.barracudanetworks.com,d40305b.ess.barracudanetworks.com.telmar.co.za,,,,,,,,,,,,,
sharfmansjewelers.com, 216.195.2.25, mail.sharfmansjewelers.com,,,,,,,,,,,,,,,
thehoffsteins.com, 74.208.5.3, mx00.1and1.com,mx01.1and1.com,,,,,,,,,,,,,,
wusthof.com, 8.19.118.113, wusthof.com.2.0001.arsmtp.com,wusthof.com.1.0001.arsmtp.com,,,,,,,,,,,,,,
tanksupplier.com, 206.188.198.64, inbound.tanksupplier.com.netsolmail.net,,,,,,,,,,,,,,,
etelmar.eu, 64.235.153.2,64.235.150.252,64.235.153.10,64.235.154.140,64.235.154.109,64.235.154.105, d40694b.ess.barracudanetworks.com,d40694a.ess.barracudanetworks.com,,,,,,,,,
peaktime.fr, 64.235.153.2,64.235.154.109,64.235.153.10,64.235.154.105,64.235.150.252,64.235.154.140, d40297a.ess.barracudanetworks.com,d40297b.ess.barracudanetworks.com,,,,,,,,,
crownawards.com, 64.235.154.140,64.235.154.105,64.235.153.2,64.235.154.109,64.235.150.252,64.235.153.10, d39758a.ess.barracudanetworks.com,relay2.xand.com,d39758b.ess.barracudanetworks.com,,,,,,,,
burnsbryant.com, 216.32.180.10,207.46.163.74, burnsbryant-com.mail.protection.outlook.com,,,,,,,,,,,,,,
cornerstoneinsurance.com, 65.75.10.227, data.artefactdesign.com,nog.artefactdesign.com,,,,,,,,,,,,,,
crowleybrothers.com, 216.32.181.42,216.32.180.106, crowleybrothers-com.mail.protection.outlook.com,,,,,,,,,,,,,,
ontimemailing.com, 183.57.48.35, mxdomain.qq.com,,,,,,,,,,,,,,,
themetanetwork.com, 69.13.5.211, themetanetwork.com,,,,,,,,,,,,,,,
netyp.org, 66.34.86.219, netyp.org,,,,,,,,,,,,,,,
telmar.nl, 64.235.150.252,64.235.153.10,64.235.154.109,64.235.154.140,64.235.154.105,64.235.153.2, d58434b.ess.barracudanetworks.com,d58434a.ess.barracudanetworks.com,,,,,,,,,
telmar-hmi.nl, 64.235.154.105,64.235.150.252,64.235.153.10,64.235.154.109,64.235.154.140,64.235.153.2, d40308b.ess.barracudanetworks.com,d40308a.ess.barracudanetworks.com,,,,,,,,,
